日期(YYYYMMDD),時間(HHMMSS),緯度(度),經度(度),高度(M),衛星等級,衛星數,速度(Knots),方向,平均精度(PDOP)
20090812,182209,30.203270,120.216270,22.0,1,8,0.5,207.5,1.3
20090812,182210,30.203270,120.216270,22.0,1,8,0.3,209.9,1.3
20090812,182211,30.203270,120.216270,22.0,1,8,0.1,219.9,1.3
20090812,182212,30.203270,120.216270,22.0,1,7,0.3,191.6,2.0
20090812,182213,30.203270,120.216270,22.0,1,7,0.2,201.8,2.0
20090812,182214,30.203270,120.216270,22.0,1,8,0.2,201.5,1.3
20090812,182215,30.203270,120.216270,22.0,1,8,0.1,183.6,1.3
20090812,182216,30.203270,120.216270,22.0,1,8,0.3,219.3,1.3
20090812,182217,30.203270,120.216270,22.0,1,8,0.3,208.7,1.3
20090812,182218,30.203270,120.216270,22.0,1,7,0.3,200.5,2.0
20090812,182219,30.203270,120.216270,22.0,1,8,0.4,203.6,1.3
20090812,182220,30.203270,120.216270,22.0,1,8,0.2,215.9,1.3
20090812,182221,30.203270,120.216270,22.0,1,8,0.4,213.5,1.3
20090812,182222,30.203270,120.216270,22.0,1,7,0.4,214.2,2.0
20090812,182223,30.203270,120.216270,22.0,1,7,0.3,208.8,2.0
20090812,182224,30.203270,120.216270,22.0,1,7,0.3,209.3,2.0
20090812,182225,30.203270,120.216270,22.0,1,7,0.4,238.3,2.0
20090812,182226,30.203270,120.216270,22.0,1,7,0.5,229.9,2.0
20090812,182227,30.203270,120.216270,22.0,1,7,0.3,143.0,2.0
20090812,182228,30.203270,120.216270,22.0,1,8,0.4,205.9,1.3
20090812,182229,30.203270,120.216270,22.0,1,7,0.1,250.7,2.0
20090812,182230,30.203270,120.216270,22.0,1,7,0.4,211.0,2.0
20090812,182231,30.203270,120.216270,22.0,1,8,0.3,215.3,1.3
20090812,182232,30.203270,120.216270,22.0,1,8,0.2,205.3,1.3
20090812,182233,30.203270,120.216270,22.0,1,8,0.6,188.9,1.3
20090812,182234,30.203268,120.216263,22.0,1,8,1.5,193.0,1.3
20090812,182235,30.203260,120.216263,22.0,1,8,3.1,182.0,1.3
20090812,182236,30.203251,120.216263,21.5,1,7,3.5,177.6,2.0
20090812,182237,30.203243,120.216270,21.5,1,8,3.7,157.3,1.3
20090812,182238,30.203234,120.216270,21.0,1,8,3.6,170.2,1.3
20090812,182239,30.203224,120.216270,20.5,1,8,3.6,187.4,1.3
20090812,182240,30.203215,120.216270,20.5,1,8,3.9,183.4,1.3
20090812,182241,30.203203,120.216270,20.5,1,8,4.1,174.6,1.3
20090812,182242,30.203194,120.216270,20.5,1,8,4.2,176.3,1.3
20090812,182243,30.203182,120.216270,20.5,1,8,4.4,173.8,1.3
20090812,182244,30.203169,120.216270,21.0,1,8,4.8,172.2,1.3
